face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,real_age,age_group_merged
detected_faces_fgnet/034A16_face0.JPG,White,White,Male,20-29,"[8.6858481e-01 1.6685995e-05 6.5164372e-02 5.7601514e-03 2.6098099e-03
 7.2516821e-04 5.7139006e-02]",[9.9731773e-01 2.4436371e-04 1.6780305e-03 7.5993192e-04],[0.5207628  0.47923723],"[3.3884683e-06 1.8716459e-03 4.3358952e-01 5.2283406e-01 4.0201753e-02
 1.4840866e-03 1.4928132e-05 5.1682849e-07 3.8768789e-08]",16.0,20-39
detected_faces_fgnet/037A13_face0.JPG,Middle Eastern,White,Male,10-19,"[3.8456607e-01 2.6312799e-05 1.4832112e-01 1.2045218e-04 2.1253979e-04
 1.0714852e-02 4.5603862e-01]",[9.5238417e-01 4.1696895e-04 2.7349372e-03 4.4463884e-02],[0.9881465  0.01185345],"[1.1323229e-04 2.4785316e-01 7.3823094e-01 1.2386850e-02 1.2990313e-03
 1.1564905e-04 1.0391725e-06 1.3390604e-07 1.0021855e-08]",13.0,10-19
detected_faces_fgnet/054A11_face0.JPG,Middle Eastern,White,Female,10-19,"[2.1776967e-01 5.2022567e-04 1.7945348e-01 2.8541297e-04 3.6502557e-04
 1.0577733e-02 5.9102851e-01]",[9.9123400e-01 2.3306567e-04 8.6383289e-04 7.6692081e-03],[3.9247022e-04 9.9960756e-01],"[1.41044817e-04 4.14999902e-01 5.69486737e-01 1.41552985e-02
 1.14221347e-03 7.05078637e-05 3.58608418e-06 6.66446283e-07
 5.32059090e-08]",11.0,10-19
detected_faces_fgnet/043A27_face0.JPG,White,White,Female,40-49,"[9.0942097e-01 9.0002313e-06 2.2204839e-02 8.7107488e-05 1.0582146e-04
 3.3892717e-04 6.7833222e-02]",[9.9992394e-01 3.3889778e-06 1.9386702e-05 5.3255786e-05],[1.7211505e-04 9.9982786e-01],"[1.9888012e-07 2.3534419e-06 4.2322141e-04 4.9084455e-02 3.4375149e-01
 5.0779831e-01 9.5147774e-02 3.7527296e-03 3.9445677e-05]",27.0,40-59
detected_faces_fgnet/008A30_face0.JPG,Middle Eastern,White,Female,30-39,"[3.1366670e-01 1.9059503e-04 2.0396042e-01 4.6412816e-04 8.0570602e-04
 7.8411058e-02 4.0250137e-01]",[0.7082192  0.00127499 0.00099706 0.2895088 ],[2.1031177e-04 9.9978971e-01],"[6.00097735e-07 1.85309636e-05 2.26416555e-03 1.24493904e-01
 4.57428366e-01 3.56783479e-01 5.67168854e-02 2.26492435e-03
 2.91313117e-05]",30.0,20-39
detected_faces_fgnet/044A01_face0.JPG,White,White,Male,3-9,"[0.6368653  0.2476359  0.05375184 0.00790264 0.00897434 0.00787313
 0.03699684]",[0.6803074  0.31370878 0.001527   0.00445681],[0.5853458 0.4146542],"[3.7166360e-01 6.1182904e-01 1.0964330e-02 2.8566376e-03 1.7025378e-03
 5.6727405e-04 2.7404554e-04 8.7554654e-05 5.4963893e-05]",1.0,0-9
detected_faces_fgnet/046A00_face0.JPG,White,White,Male,0-2,"[0.7347053  0.00312459 0.07616214 0.02314443 0.0146945  0.00706908
 0.14110002]",[0.8362222  0.00144175 0.14146987 0.02086614],[0.7614369  0.23856315],"[9.6722519e-01 3.0776439e-02 2.8440228e-04 6.0727663e-04 6.5963872e-04
 3.3907831e-04 8.9209934e-05 1.6104521e-05 2.6087193e-06]",0.0,0-9
detected_faces_fgnet/048A16_face0.JPG,Middle Eastern,White,Male,20-29,"[1.9266261e-01 2.4034949e-05 1.0153594e-02 4.0833154e-05 6.0760791e-05
 5.6182622e-04 7.9649633e-01]",[0.96972215 0.0023579  0.00704253 0.02087748],[9.9986517e-01 1.3486219e-04],"[2.3104744e-06 1.8877343e-03 4.3335167e-01 5.2054226e-01 4.1938722e-02
 2.2586989e-03 1.8155475e-05 4.0805139e-07 1.1922455e-08]",16.0,20-39
detected_faces_fgnet/060A07_face0.JPG,Middle Eastern,White,Female,3-9,"[0.25538048 0.00208356 0.27185956 0.00082555 0.00393675 0.15450285
 0.3114112 ]",[0.83114475 0.01003002 0.00679823 0.15202706],[0.11843807 0.88156193],"[8.6666383e-03 9.1700059e-01 7.0302837e-02 3.3904931e-03 5.2125641e-04
 1.0679299e-04 8.4449039e-06 2.6315845e-06 4.6680654e-07]",7.0,0-9
detected_faces_fgnet/002A36_face0.JPG,White,White,Female,20-29,"[5.4760963e-01 1.6061837e-04 1.4742962e-01 7.0872979e-05 2.9267155e-04
 6.7288051e-03 2.9770780e-01]",[0.7525742  0.00607321 0.00607118 0.23528135],[0.00300161 0.99699837],"[1.4086653e-07 1.6581702e-04 1.1035726e-01 7.5965190e-01 1.2531658e-01
 4.4470048e-03 5.9285772e-05 1.9951383e-06 8.0171070e-08]",36.0,20-39
detected_faces_fgnet/045A43_face0.JPG,Middle Eastern,White,Male,50-59,"[0.2915343  0.00094161 0.17379466 0.00056723 0.00057893 0.00513227
 0.52745104]",[0.882286   0.00655986 0.00732327 0.10383086],[9.9999416e-01 5.8663431e-06],"[3.0544801e-05 1.2063354e-05 6.4909385e-05 6.0704042e-05 2.8544965e-03
 1.1009591e-01 7.0165211e-01 1.8374294e-01 1.4862501e-03]",43.0,40-59
detected_faces_fgnet/035A05_face0.JPG,White,White,Male,3-9,"[7.8034186e-01 2.5792420e-05 6.7565426e-02 5.4730236e-04 2.7701366e-04
 1.1564324e-03 1.5008621e-01]",[9.9931616e-01 1.4316511e-05 3.6871052e-04 3.0082214e-04],[0.9980508  0.00194923],"[1.9996587e-04 9.1760367e-01 8.2115702e-02 4.8606849e-05 1.8026582e-05
 1.2771810e-05 1.0210549e-06 2.1555581e-07 3.7336790e-08]",5.0,0-9
detected_faces_fgnet/012A07_face0.JPG,White,White,Female,3-9,"[0.5049473  0.00254102 0.3345055  0.00114535 0.00266782 0.05341632
 0.10077669]",[0.8459764  0.05062426 0.00147683 0.10192248],[0.00680586 0.9931941 ],"[1.2017124e-03 9.4852388e-01 4.6417821e-02 3.0278626e-03 7.2468363e-04
 9.8094861e-05 5.3849112e-06 5.8017577e-07 6.7331904e-08]",7.0,0-9
detected_faces_fgnet/015A05_face0.JPG,Middle Eastern,White,Female,3-9,"[3.1214368e-01 5.7347039e-05 1.1671271e-01 3.6461171e-04 5.4592837e-04
 1.9970356e-02 5.5020535e-01]",[8.7352866e-01 2.6802256e-04 2.3786717e-03 1.2382466e-01],[0.00102283 0.9989771 ],"[4.9468648e-04 7.8971642e-01 2.0473830e-01 4.2415685e-03 7.0476666e-04
 9.8602548e-05 4.7617882e-06 7.0970736e-07 1.2055885e-07]",5.0,0-9
detected_faces_fgnet/023A22_face0.JPG,Middle Eastern,White,Male,30-39,"[1.12285905e-01 5.43648319e-04 8.36048201e-02 9.79246252e-05
 2.20129121e-04 1.92414166e-03 8.01323473e-01]",[0.9656308  0.00496248 0.00160987 0.02779684],[9.9999321e-01 6.8541867e-06],"[6.25534312e-06 1.04093915e-05 1.54502038e-03 1.24070667e-01
 5.98601639e-01 2.64129847e-01 1.11249406e-02 5.03387768e-04
 7.86078726e-06]",22.0,20-39
detected_faces_fgnet/005A52_face0.JPG,Latino_Hispanic,White,Female,50-59,"[3.1105015e-01 5.9159400e-05 5.5239904e-01 2.7610911e-03 3.0839706e-03
 5.9154131e-03 1.2473118e-01]",[0.94183713 0.00106446 0.04693505 0.01016329],[0.0108067 0.9891933],"[4.0413481e-05 1.0121183e-03 1.0174347e-02 7.1068630e-03 4.9129371e-02
 1.6141094e-01 3.9176521e-01 3.4225830e-01 3.7102394e-02]",52.0,40-59
detected_faces_fgnet/082A00_face0.JPG,White,White,Male,3-9,"[8.5757101e-01 2.2332380e-03 3.3358660e-02 3.5508498e-04 1.6704393e-03
 1.0068248e-02 9.4743401e-02]",[9.8859024e-01 4.2121895e-03 4.9483724e-04 6.7027500e-03],[0.67125624 0.32874373],"[2.4760408e-02 8.8349795e-01 7.6605231e-02 7.3936898e-03 5.0421623e-03
 2.0301964e-03 4.1825051e-04 1.6889122e-04 8.3253151e-05]",0.0,0-9
detected_faces_fgnet/072A27_face0.JPG,White,White,Female,20-29,"[0.5357832  0.00057651 0.31309265 0.00118449 0.00182868 0.04270522
 0.10482918]",[9.2541319e-01 2.1437497e-03 5.8001763e-04 7.1862996e-02],[6.606954e-04 9.993393e-01],"[5.6915547e-07 1.2220281e-04 3.1882931e-02 6.2659609e-01 3.0349761e-01
 3.7059028e-02 8.1809692e-04 2.3019922e-05 3.8637646e-07]",27.0,20-39
detected_faces_fgnet/038A23_face0.JPG,Middle Eastern,White,Male,30-39,"[1.3940528e-02 5.8995061e-05 1.3712662e-02 1.4084345e-04 6.2362471e-04
 4.3174818e-02 9.2834854e-01]",[6.0945493e-01 2.8203335e-04 1.7702292e-01 2.1324012e-01],[9.9996644e-01 3.3551267e-05],"[5.4878615e-07 1.7083035e-05 1.3422631e-02 4.1679871e-01 5.0599021e-01
 6.3071154e-02 6.8092369e-04 1.8444445e-05 3.9812841e-07]",23.0,20-39
detected_faces_fgnet/080A00_face0.JPG,White,White,Male,0-2,"[0.50068164 0.00239341 0.06554729 0.00864455 0.00440447 0.00346851
 0.41486013]",[0.7287945  0.00241973 0.25745502 0.01133072],[0.9899256  0.01007435],"[9.9311721e-01 6.6709537e-03 2.3675857e-05 3.5702265e-05 7.6082557e-05
 6.2920699e-05 1.1742347e-05 1.5135457e-06 1.5110203e-07]",0.0,0-9
detected_faces_fgnet/055A12_face0.JPG,White,White,Male,10-19,"[4.5991552e-01 3.3412233e-03 2.3773594e-01 2.5732562e-04 5.6222733e-04
 4.3145218e-03 2.9387325e-01]",[0.60168797 0.09995705 0.04452835 0.25382668],[0.98863393 0.01136606],"[2.1289799e-05 1.6297540e-02 6.2449402e-01 3.2145438e-01 3.5888936e-02
 1.8172193e-03 2.4141948e-05 2.2559584e-06 1.5713204e-07]",12.0,10-19
detected_faces_fgnet/071A18_face0.JPG,Middle Eastern,White,Male,40-49,"[1.4699024e-01 1.0826266e-05 2.5187839e-02 1.6006900e-06 7.5961525e-06
 6.4829038e-03 8.2131898e-01]",[9.8909885e-01 3.2298733e-05 1.0722585e-05 1.0858143e-02],[9.999686e-01 3.144460e-05],"[4.5481452e-06 1.1005683e-05 1.6549950e-04 3.7437768e-03 2.3016578e-01
 7.1673477e-01 4.8841268e-02 3.2883766e-04 4.4837470e-06]",18.0,40-59
detected_faces_fgnet/008A21_face0.JPG,Middle Eastern,White,Female,20-29,"[1.3384467e-01 1.4093461e-05 3.1678330e-02 2.7609110e-04 3.9182606e-04
 2.6205545e-02 8.0758941e-01]",[9.2147911e-01 3.6906695e-04 1.3154108e-03 7.6836318e-02],[0.00215047 0.9978496 ],"[5.6793834e-07 4.3807831e-04 9.2563711e-02 7.9362136e-01 1.0652935e-01
 6.7011993e-03 1.3819797e-04 7.3471983e-06 2.3641033e-07]",21.0,20-39
detected_faces_fgnet/025A18_face0.JPG,White,White,Female,10-19,"[9.2442083e-01 3.1186129e-05 4.2399827e-02 4.1604196e-04 4.8380220e-04
 3.1857328e-03 2.9062634e-02]",[0.84891427 0.0021884  0.00178109 0.1471162 ],[0.49746984 0.5025302 ],"[1.1196998e-05 1.5957201e-02 6.3800222e-01 3.1098002e-01 3.2380987e-02
 2.6407219e-03 2.6589572e-05 9.6320184e-07 5.1654450e-08]",18.0,10-19
detected_faces_fgnet/033A21_face0.JPG,Latino_Hispanic,White,Male,30-39,"[2.0223922e-01 8.1534078e-04 2.9156423e-01 2.4267548e-04 8.4247871e-04
 2.7717841e-01 2.2711766e-01]",[0.55367553 0.00262863 0.00768576 0.43601012],[9.9977034e-01 2.2965610e-04],"[9.8945020e-05 2.9679544e-03 7.1890503e-02 4.2613414e-01 4.2924827e-01
 6.8697311e-02 9.2341244e-04 3.8400740e-05 1.0223015e-06]",21.0,20-39
detected_faces_fgnet/041A24_face0.JPG,Middle Eastern,Indian,Male,20-29,"[2.8841563e-02 7.8305406e-05 8.7869331e-02 1.3244533e-04 6.2620366e-04
 1.5131733e-02 8.6732042e-01]",[0.41590992 0.00083762 0.0199135  0.563339  ],[9.9998325e-01 1.6781512e-05],"[6.5099266e-07 3.3640658e-04 7.9887763e-02 7.9701495e-01 1.2077251e-01
 1.9836095e-03 4.0256323e-06 7.4227138e-08 1.1806646e-09]",24.0,20-39
detected_faces_fgnet/065A07b_face0.JPG,Latino_Hispanic,Indian,Male,3-9,"[0.2090122  0.00146904 0.60834557 0.00414155 0.00700865 0.01965091
 0.15037215]",[0.3392798  0.0041841  0.04199256 0.61454356],[0.50109965 0.49890032],"[3.8669791e-04 8.0496764e-01 1.9225989e-01 1.4608700e-03 6.8831752e-04
 2.0474246e-04 2.2895694e-05 7.7641835e-06 1.1323823e-06]",7.0,0-9
detected_faces_fgnet/040A02_face0.JPG,Middle Eastern,White,Male,0-2,"[0.26706406 0.00078651 0.2657961  0.00589755 0.00300182 0.02642469
 0.4310293 ]",[0.78664285 0.00281079 0.05314586 0.15740046],[0.9750879 0.0249121],"[5.1043725e-01 4.8512805e-01 2.7525635e-03 5.3566479e-04 7.1278762e-04
 3.8190529e-04 4.5029301e-05 6.3619746e-06 3.6595836e-07]",2.0,0-9
detected_faces_fgnet/008A35_face0.JPG,Latino_Hispanic,White,Female,30-39,"[3.2260126e-01 7.6437696e-05 4.9910584e-01 1.7564907e-04 4.9577450e-04
 1.4732327e-01 3.0221855e-02]",[7.8884232e-01 4.1392513e-04 4.2864916e-04 2.1031511e-01],[0.00183778 0.9981622 ],"[2.1475630e-07 3.4878107e-05 1.3017287e-02 3.9766091e-01 5.1441365e-01
 7.3507175e-02 1.3463513e-03 1.9301358e-05 1.7826314e-07]",35.0,20-39
detected_faces_fgnet/043A15_face0.JPG,White,White,Male,20-29,"[7.8365755e-01 3.0658887e-07 1.2698253e-03 5.3721058e-05 2.4648365e-05
 1.4401338e-03 2.1355383e-01]",[9.9533355e-01 1.2409206e-05 1.6543207e-04 4.4885809e-03],[0.8095165 0.1904835],"[1.6219821e-05 5.1798229e-03 3.2933444e-01 5.8646995e-01 6.5884709e-02
 1.2606101e-02 4.7398821e-04 3.2021511e-05 2.7394074e-06]",15.0,20-39
detected_faces_fgnet/074A11_face0.JPG,White,White,Male,3-9,"[6.69128776e-01 1.72984546e-05 1.75233725e-02 1.01212718e-04
 1.12208334e-04 2.31119199e-03 3.10805857e-01]",[9.8429292e-01 1.0733779e-03 4.3486609e-04 1.4198822e-02],[9.9923897e-01 7.6103426e-04],"[1.97589270e-05 5.02543867e-01 4.97012883e-01 4.05745493e-04
 1.50150445e-05 2.77115669e-06 5.20247632e-08 6.70018041e-09
 3.96907951e-10]",11.0,0-9
detected_faces_fgnet/029A05_face0.JPG,White,White,Male,3-9,"[9.6246243e-01 1.9950632e-05 1.4081129e-02 1.2132388e-04 2.6350097e-05
 6.6660963e-05 2.3222156e-02]",[9.9992782e-01 1.4789459e-05 2.5168967e-05 3.2223616e-05],[0.99654907 0.00345092],"[5.7209976e-04 7.1000117e-01 2.8811154e-01 1.0548445e-03 2.2089003e-04
 3.7969818e-05 1.3145008e-06 1.6346742e-07 1.7064702e-08]",5.0,0-9
detected_faces_fgnet/042A10_face0.JPG,Middle Eastern,White,Male,3-9,"[4.17432070e-01 4.16396688e-05 1.17537588e-01 1.26781437e-04
 1.88766091e-04 1.05332695e-02 4.54139948e-01]",[9.9691224e-01 5.7133879e-05 7.0536807e-05 2.9600658e-03],[0.9970357  0.00296427],"[7.6524280e-05 6.3987041e-01 3.5924846e-01 5.8935134e-04 1.4796352e-04
 6.4711618e-05 2.3803500e-06 2.4051644e-07 1.5901540e-08]",10.0,0-9
detected_faces_fgnet/077A01_face0.JPG,White,White,Female,0-2,"[9.4669122e-01 4.8206843e-05 6.2627760e-03 3.7065335e-03 5.6813663e-04
 2.5906650e-04 4.2464022e-02]",[9.9942034e-01 1.5119423e-06 5.4406858e-04 3.4116689e-05],[0.11939772 0.88060224],"[7.2741896e-01 2.7038068e-01 1.4116149e-03 2.5744631e-04 2.5096440e-04
 1.9881380e-04 6.7333378e-05 1.1781096e-05 2.4428684e-06]",1.0,0-9
detected_faces_fgnet/047A55_face0.JPG,White,White,Female,50-59,"[9.8689502e-01 1.9721030e-05 8.5937511e-03 1.9002766e-05 7.8029352e-06
 8.8681136e-06 4.4557573e-03]",[9.9994922e-01 6.9009388e-06 3.9353508e-05 4.5921856e-06],[1.7451364e-04 9.9982548e-01],"[3.0149832e-07 1.1128328e-06 3.4880988e-05 7.2342687e-04 1.2785942e-02
 1.8121870e-01 6.4558095e-01 1.5643083e-01 3.2238970e-03]",55.0,40-59
detected_faces_fgnet/022A30_face0.JPG,Latino_Hispanic,White,Male,30-39,"[1.11434795e-01 1.93532871e-03 5.08344591e-01 2.19602953e-04
 6.21958578e-04 6.09784536e-02 3.16465229e-01]",[0.9705163  0.00125894 0.00202952 0.0261952 ],[9.9981672e-01 1.8327059e-04],"[2.8286833e-05 1.2749856e-04 2.5638223e-03 7.2782815e-02 6.6287714e-01
 2.5107366e-01 1.0420829e-02 1.2426153e-04 1.6563255e-06]",30.0,20-39
detected_faces_fgnet/039A10_face0.JPG,White,White,Female,20-29,"[9.3263310e-01 3.5162622e-04 8.8942936e-03 5.1131546e-03 1.2702629e-03
 2.0705740e-04 5.1530503e-02]",[0.9743397  0.00421257 0.01543476 0.00601296],[0.32517114 0.6748289 ],"[2.2363357e-04 9.7823605e-02 3.5982576e-01 4.5463425e-01 7.4828133e-02
 1.1712186e-02 8.1557949e-04 1.2038681e-04 1.6384121e-05]",10.0,20-39
detected_faces_fgnet/019A23_face0.JPG,Latino_Hispanic,White,Male,20-29,"[3.3356777e-01 2.1376851e-04 4.2863819e-01 1.6420406e-03 2.2827545e-03
 6.3552819e-03 2.2730024e-01]",[0.88037634 0.00171361 0.00816377 0.10974625],[9.9972481e-01 2.7517448e-04],"[4.1889066e-07 4.7100129e-05 6.2054261e-03 5.9102112e-01 3.9526358e-01
 7.4466192e-03 1.5550851e-05 1.9284717e-07 3.3520553e-09]",23.0,20-39
detected_faces_fgnet/015A14_face0.JPG,Latino_Hispanic,White,Male,10-19,"[3.2934394e-01 1.2750422e-04 3.7353301e-01 1.1725858e-02 1.3368410e-02
 2.5876744e-03 2.6931366e-01]",[0.88115907 0.00096978 0.06395481 0.05391636],[0.74703526 0.25296474],"[6.8670964e-08 4.1343248e-04 7.7652109e-01 2.2063866e-01 2.4130174e-03
 1.3673989e-05 4.5128903e-08 3.4164689e-09 1.3591231e-10]",14.0,10-19
detected_faces_fgnet/006A31_face0.JPG,Middle Eastern,White,Male,40-49,"[0.06627169 0.00088989 0.20777632 0.00079844 0.00234127 0.2658496
 0.4560728 ]",[0.5041846  0.00570804 0.04181713 0.44829017],[9.9995965e-01 4.0375075e-05],"[1.0429162e-04 4.1453177e-04 8.2832891e-03 6.3801266e-02 3.7527737e-01
 4.8519379e-01 6.5501086e-02 1.4020978e-03 2.2230361e-05]",31.0,40-59
detected_faces_fgnet/028A20_face0.JPG,White,White,Male,10-19,"[8.3950174e-01 1.9135825e-04 4.7565922e-02 7.7862962e-04 3.7663992e-04
 8.5375522e-04 1.1073206e-01]",[9.9909097e-01 1.3569284e-04 4.8970379e-04 2.8361887e-04],[0.9974942  0.00250577],"[8.0754253e-06 5.3828405e-03 7.7650225e-01 2.1388134e-01 4.0984713e-03
 1.2528681e-04 1.5068564e-06 9.6704092e-08 8.2841032e-09]",20.0,10-19
detected_faces_fgnet/050A22_face0.JPG,Middle Eastern,White,Male,30-39,"[1.8407068e-01 6.0782484e-05 4.9903836e-02 7.4826392e-05 2.7235658e-04
 8.2160905e-03 7.5740141e-01]",[9.2203128e-01 7.4023876e-04 9.7342534e-04 7.6255046e-02],[9.9999994e-01 8.0056402e-08],"[6.5157387e-06 1.4061842e-04 1.2881351e-02 4.0122154e-01 5.2146190e-01
 6.2860444e-02 1.4063965e-03 2.1044869e-05 1.4054787e-07]",22.0,20-39
detected_faces_fgnet/082A31_face0.JPG,Latino_Hispanic,Indian,Male,20-29,"[4.1518748e-02 1.1443698e-01 5.6051910e-01 1.3716306e-04 2.0573239e-03
 2.2963798e-01 5.1692832e-02]",[0.13040955 0.345092   0.01166065 0.51283777],[9.9999666e-01 3.3495255e-06],"[1.3231536e-06 1.9493584e-04 7.3074803e-02 7.7977318e-01 1.4035234e-01
 6.5246080e-03 7.5709533e-05 3.0823860e-06 4.7949865e-08]",31.0,20-39
detected_faces_fgnet/081A00_face0.JPG,White,White,Male,0-2,"[8.17602575e-01 2.02088282e-04 4.41191010e-02 1.27208242e-02
 2.34937691e-03 2.87171407e-03 1.20134324e-01]",[9.564999e-01 3.992957e-04 1.717590e-02 2.592491e-02],[0.91506094 0.0849391 ],"[9.7018826e-01 2.9208576e-02 7.1438531e-05 1.2918518e-04 2.3307720e-04
 1.3361327e-04 3.1654279e-05 3.8424064e-06 3.7330869e-07]",0.0,0-9
detected_faces_fgnet/004A48_face0.JPG,Middle Eastern,Indian,Male,40-49,"[5.3636305e-02 1.4467605e-03 7.9465263e-02 1.1419165e-05 6.9113303e-05
 2.3376919e-01 6.3160199e-01]",[5.2705154e-02 4.6718386e-03 2.3398294e-04 9.4238907e-01],[9.999800e-01 1.999724e-05],"[1.7754772e-05 1.8155295e-05 6.8589441e-05 2.5364114e-03 1.4283292e-01
 7.1144539e-01 1.4089641e-01 2.1575717e-03 2.6757654e-05]",48.0,40-59
detected_faces_fgnet/074A09_face0.JPG,White,White,Male,10-19,"[9.0780252e-01 1.7561300e-06 2.2282701e-03 5.9559384e-06 2.7623298e-06
 6.7896013e-05 8.9890845e-02]",[9.9975264e-01 9.1779229e-06 3.0117214e-06 2.3514882e-04],[0.9982238  0.00177618],"[9.37108707e-05 4.10609186e-01 5.88626146e-01 5.18805813e-04
 1.01437116e-04 4.71611929e-05 2.93041603e-06 6.34764319e-07
 2.74517404e-08]",9.0,10-19
