face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0010_face0.png,White,White,Male,50-59,"[0.4371937  0.00119766 0.4023261  0.07342652 0.03595525 0.01693077
 0.03297006]",[6.6855931e-01 4.3919426e-05 3.2852483e-01 2.8719988e-03],[0.91060656 0.08939347],"[2.0099241e-04 8.4819878e-04 2.3867069e-03 5.8512070e-04 5.8278367e-03
 5.4839954e-02 5.2497602e-01 3.6752498e-01 4.2810213e-02]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0012_face0.png,Indian,Indian,Male,30-39,"[7.1091373e-03 9.2074471e-03 2.1250521e-01 5.0460425e-04 7.2266124e-03
 7.4436253e-01 1.9084396e-02]",[0.01905418 0.04690563 0.02982784 0.90421236],[9.999176e-01 8.239963e-05],"[2.4203127e-06 1.5860069e-05 2.6255543e-03 1.6344456e-01 6.3902092e-01
 1.8844019e-01 6.2747910e-03 1.6936261e-04 6.3733310e-06]",Others,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0013_face0.png,White,White,Male,30-39,"[8.9788598e-01 3.0075740e-05 2.4009867e-02 2.3995752e-05 6.2474195e-05
 2.2401186e-03 7.5747550e-02]",[9.9778104e-01 1.9462159e-05 9.2941096e-05 2.1064812e-03],[9.9999917e-01 8.2610063e-07],"[6.13051895e-07 5.95055917e-06 1.62962778e-03 3.58576387e-01
 6.06848657e-01 3.27891856e-02 1.48414911e-04 1.23245491e-06
 1.47757255e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0014_face0.png,Latino_Hispanic,Indian,Male,20-29,"[2.5335568e-01 7.7763293e-04 4.8815075e-01 4.0458926e-04 1.5536965e-03
 3.4647197e-02 2.2111040e-01]",[0.43067372 0.00664256 0.0185884  0.5440954 ],[9.999910e-01 8.992253e-06],"[4.6165715e-07 3.6877231e-05 1.9302713e-02 6.1645973e-01 3.3951849e-01
 2.4457376e-02 2.2107153e-04 3.1778577e-06 5.4183687e-08]",Others,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0015_face0.png,Black,Black,Male,10-19,"[3.2887892e-06 9.9992919e-01 2.8775787e-05 4.2994469e-07 5.9482336e-06
 2.6075262e-05 6.2373329e-06]",[6.6164091e-08 9.9999744e-01 7.1549698e-07 1.7143094e-06],[9.9988997e-01 1.1005666e-04],"[2.6455571e-05 1.5562639e-02 4.7143683e-01 3.8417152e-01 1.1091177e-01
 1.6755182e-02 1.0248697e-03 9.5593983e-05 1.5130661e-05]",Black,10-19
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0016_face0.png,White,White,Male,30-39,"[8.22330475e-01 7.09395274e-04 1.19984806e-01 5.29912300e-03
 5.62850619e-03 3.58548062e-03 4.24622931e-02]",[9.5691115e-01 6.9066475e-04 2.9044351e-02 1.3353788e-02],[9.9995863e-01 4.1388943e-05],"[6.0729303e-07 4.8209386e-06 9.6142938e-04 1.6056001e-01 6.7351401e-01
 1.6119376e-01 3.7365607e-03 2.8211129e-05 5.4217099e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0017_face0.png,White,White,Male,60-69,"[8.8017786e-01 5.3227477e-04 1.1175380e-02 4.6052909e-04 4.6620169e-04
 1.0615217e-03 1.0612619e-01]",[9.9901575e-01 1.4406601e-04 1.4451910e-04 6.9565582e-04],[9.9913776e-01 8.6220307e-04],"[1.1315452e-05 2.5875923e-05 5.4144498e-04 1.3517501e-03 4.5914189e-03
 3.4747317e-02 3.0113345e-01 4.0463954e-01 2.5295791e-01]",White,60+
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0018_face0.png,White,White,Male,40-49,"[4.7297511e-01 2.3941301e-04 2.4305236e-01 7.6101343e-05 3.8366573e-04
 2.0367084e-02 2.6290631e-01]",[9.6124524e-01 1.8292892e-04 3.3282599e-04 3.8239013e-02],[9.999860e-01 1.402258e-05],"[3.1896884e-06 3.7614157e-06 3.7819566e-04 1.0315540e-02 2.2266078e-01
 5.9122771e-01 1.7250220e-01 2.8759092e-03 3.2755022e-05]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0019_face0.png,Latino_Hispanic,White,Male,30-39,"[0.0880976  0.0039889  0.637562   0.00064405 0.00226199 0.01634101
 0.25110447]",[0.55806106 0.0424351  0.02675256 0.37275127],[9.9999785e-01 2.1556559e-06],"[1.1514104e-06 8.4016501e-06 1.4670715e-03 2.1524401e-01 6.7904699e-01
 1.0202182e-01 2.1807160e-03 2.9486957e-05 3.7420128e-07]",Others,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0020_face0.png,White,White,Male,40-49,"[5.50243616e-01 1.22151163e-04 4.08687711e-01 2.31729558e-04
 6.44737680e-04 2.55193841e-02 1.45506775e-02]",[9.6633554e-01 1.3434821e-04 5.7235535e-04 3.2957740e-02],[9.9999619e-01 3.8570897e-06],"[3.9829342e-06 9.0796202e-06 2.8603882e-04 1.4370867e-03 7.7357657e-02
 5.7607692e-01 3.4243596e-01 2.3819075e-03 1.1319075e-05]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0021_face0.png,White,White,Male,40-49,"[5.6584179e-01 1.6886784e-02 2.4960914e-01 1.0204621e-04 1.9366031e-03
 7.2730079e-02 9.2893496e-02]",[0.67724985 0.05124591 0.00814394 0.26336035],[9.9999988e-01 1.1913358e-07],"[1.1796836e-06 1.9124085e-05 2.2423847e-03 4.4904582e-02 3.0377686e-01
 5.5526578e-01 9.2187911e-02 1.5748247e-03 2.7418359e-05]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0022_face0.png,White,White,Male,50-59,"[9.7315079e-01 5.4348078e-05 8.4655797e-03 1.0057356e-05 8.9350215e-05
 2.1751218e-03 1.6054889e-02]",[9.9736452e-01 5.9399859e-05 4.7986632e-05 2.5280842e-03],[9.9998683e-01 1.3147283e-05],"[9.5891201e-06 2.4796876e-05 4.4510234e-04 5.2045996e-04 9.7750565e-03
 2.3482677e-01 7.0345479e-01 4.9483363e-02 1.4600134e-03]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0023_face0.png,White,White,Male,40-49,"[7.1963727e-01 3.6005068e-04 2.2660582e-01 4.0443180e-04 4.9976079e-04
 1.1225777e-02 4.1266963e-02]",[9.8451436e-01 5.4080575e-04 1.7111948e-03 1.3233720e-02],[9.9975461e-01 2.4539663e-04],"[4.6627866e-07 1.6402932e-06 9.3687944e-05 8.2744695e-03 3.1478199e-01
 6.3082218e-01 4.5862723e-02 1.6116790e-04 1.6757124e-06]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0024_face0.png,White,White,Male,30-39,"[9.6625942e-01 3.0174862e-05 1.5246035e-02 4.7974558e-05 2.6722506e-04
 1.0709837e-02 7.4393908e-03]",[9.9167025e-01 1.4474177e-04 4.9314986e-04 7.6917941e-03],[9.999972e-01 2.811898e-06],"[1.5286928e-07 3.4457823e-06 6.3759764e-04 7.7568024e-02 5.6454146e-01
 3.5066110e-01 6.5591210e-03 2.8021068e-05 1.0773381e-06]",White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0025_face0.png,White,White,Male,40-49,"[8.6698151e-01 3.2981345e-04 4.9998250e-02 2.0717112e-03 2.9002717e-03
 7.2378060e-03 7.0480600e-02]",[9.5554996e-01 3.8383657e-04 2.5950495e-02 1.8115720e-02],[9.9978799e-01 2.1205412e-04],"[1.4876080e-06 4.7836807e-06 1.9608329e-04 1.6302148e-02 3.7013727e-01
 5.6782329e-01 4.5210928e-02 3.1850385e-04 5.5182177e-06]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0026_face0.png,Black,Black,Male,40-49,"[8.0112778e-07 9.9965161e-01 6.5199667e-05 7.6033501e-07 5.9720573e-05
 2.1938323e-04 2.4233073e-06]",[1.2447206e-06 9.9986583e-01 7.8829304e-05 5.4022887e-05],[9.9999875e-01 1.2291525e-06],"[1.6859840e-06 1.0685778e-05 3.0045156e-04 3.7700649e-02 2.8259635e-01
 5.2445054e-01 1.4622800e-01 8.0419900e-03 6.6955981e-04]",Black,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0027_face0.png,White,White,Male,50-59,"[9.1572416e-01 6.4025800e-05 2.9057434e-02 2.7524962e-04 4.6081236e-04
 1.2377015e-03 5.3180564e-02]",[9.9886525e-01 2.3286713e-05 3.5974249e-04 7.5161830e-04],[9.999916e-01 8.362778e-06],"[8.5589199e-06 1.2150332e-05 2.6411374e-04 9.2820899e-04 3.1709552e-02
 3.5542262e-01 5.8786809e-01 2.3455061e-02 3.3171684e-04]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0028_face0.png,Black,Black,Male,40-49,"[7.5963603e-06 9.9843502e-01 3.0279753e-04 5.0044179e-07 6.5517411e-06
 1.2394572e-03 8.1039907e-06]",[6.3918997e-06 9.9967021e-01 1.4317351e-05 3.0902724e-04],[9.9980026e-01 1.9974113e-04],"[2.80152631e-06 1.18672579e-05 5.26184973e-04 2.44783666e-02
 2.62927502e-01 6.01761580e-01 1.08557984e-01 1.68894615e-03
 4.47371531e-05]",Black,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0029_face0.png,White,White,Male,40-49,"[4.5465955e-01 1.8840468e-04 2.2377223e-01 1.6307086e-02 1.0009012e-02
 2.0311854e-03 2.9303253e-01]",[9.7514611e-01 1.5049947e-04 1.8584572e-02 6.1188508e-03],[9.9995136e-01 4.8583457e-05],"[5.5873325e-06 9.5338946e-06 2.7593673e-04 6.1399173e-03 2.1943469e-01
 6.2639809e-01 1.4497413e-01 2.7397855e-03 2.2329570e-05]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0030_face0.png,Southeast Asian,Black,Male,40-49,"[0.06555479 0.19547881 0.10033909 0.21316734 0.36568755 0.0213661
 0.0384064 ]",[0.02534657 0.4803912  0.29681388 0.19744834],[0.99631417 0.00368584],"[3.9480980e-07 4.4691413e-07 2.3427352e-05 6.7945300e-03 1.0793674e-01
 4.7265729e-01 2.9881451e-01 9.5946863e-02 1.7825834e-02]",Asian,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0031_face0.png,Black,Black,Male,20-29,"[5.1593674e-06 9.9991518e-01 5.9538303e-05 1.8579543e-07 9.0553732e-07
 1.1336869e-05 7.7882032e-06]",[4.3462537e-06 9.9998730e-01 3.7155833e-06 4.6383184e-06],[0.99749255 0.00250747],"[4.1628869e-06 3.7440498e-04 4.2062618e-02 4.3741351e-01 4.2363131e-01
 9.4060503e-02 2.4160452e-03 3.4823330e-05 2.6433577e-06]",Black,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0032_face0.png,White,White,Male,30-39,"[8.6021215e-01 1.2193556e-05 9.6091278e-02 4.1920464e-03 1.4301856e-03
 1.9583423e-03 3.6103718e-02]",[9.9724299e-01 1.0634586e-05 1.0208889e-03 1.7255148e-03],[9.999337e-01 6.625058e-05],"[8.6857256e-07 3.0404065e-06 3.3723132e-04 2.3557115e-02 5.0892121e-01
 4.5187297e-01 1.5216995e-02 9.0100519e-05 5.7250645e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0033_face0.png,White,White,Male,50-59,"[0.51776624 0.00268719 0.08504133 0.00459715 0.00991531 0.01124336
 0.3687494 ]",[9.8732275e-01 8.9819450e-04 1.0276835e-02 1.5021763e-03],[9.99952e-01 4.79345e-05],"[1.00215402e-05 6.98451231e-06 1.06925676e-04 3.52510688e-04
 6.45153178e-03 1.14729866e-01 6.14562213e-01 2.47880146e-01
 1.58998352e-02]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0034_face0.png,White,White,Male,40-49,"[8.5330105e-01 3.6253033e-03 1.0979292e-02 2.1471096e-05 1.3866997e-04
 1.9823681e-03 1.2995183e-01]",[0.9595413  0.03263392 0.00114305 0.00668173],[9.9995601e-01 4.3962664e-05],"[1.5151735e-06 4.0200298e-06 1.6017797e-04 3.0417355e-02 4.5087951e-01
 4.6382600e-01 5.2386731e-02 2.1741525e-03 1.5060716e-04]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0035_face0.png,Middle Eastern,White,Male,60-69,"[0.09063277 0.2519224  0.0920989  0.00828354 0.01903236 0.04286418
 0.49516582]",[0.5566397  0.24212217 0.00884233 0.1923958 ],[9.999924e-01 7.668196e-06],"[6.6993518e-05 4.4033186e-05 1.3769479e-04 2.2041822e-04 1.6245155e-03
 2.5175471e-02 3.2741618e-01 5.6333119e-01 8.1983477e-02]",Black,60+
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0036_face0.png,White,White,Male,30-39,"[8.6849070e-01 4.6613289e-04 4.8470721e-02 4.9371296e-03 4.9100695e-03
 4.9575311e-03 6.7767650e-02]",[8.0854869e-01 3.2039519e-04 1.6587369e-01 2.5257178e-02],[9.9995965e-01 4.0301886e-05],"[2.2035183e-06 5.9215108e-05 1.9942736e-03 3.3625716e-01 6.1801279e-01
 4.3235417e-02 4.3046052e-04 8.2353836e-06 2.6661974e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0037_face0.png,White,White,Male,30-39,"[8.4887469e-01 2.2386781e-05 5.4168578e-02 1.8668838e-04 4.9075944e-04
 3.7903881e-03 9.2466526e-02]",[9.9435729e-01 2.1315328e-04 5.4921058e-04 4.8803631e-03],[9.9999923e-01 7.6802013e-07],"[3.0796791e-06 1.0698397e-04 4.4622812e-03 6.1815843e-02 5.8138132e-01
 3.4657049e-01 5.6303144e-03 2.9410676e-05 2.8286544e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0038_face0.png,White,White,Male,40-49,"[6.0939097e-01 2.0673110e-04 3.5590896e-01 5.0847849e-04 9.5254136e-04
 1.4485652e-02 1.8546624e-02]",[9.9063087e-01 6.1103245e-05 3.7526530e-03 5.5554393e-03],[9.9998963e-01 1.0342687e-05],"[2.1681331e-06 6.4288843e-06 1.1792186e-04 9.2028640e-04 8.3341740e-02
 7.0387679e-01 2.1031147e-01 1.4145019e-03 8.6512609e-06]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0039_face0.png,Middle Eastern,White,Male,50-59,"[3.8669404e-01 4.2545307e-02 1.0161597e-01 3.0210466e-04 2.0585968e-03
 4.4139206e-02 4.2264485e-01]",[9.8828590e-01 9.1043575e-04 1.3864842e-04 1.0664908e-02],[9.999922e-01 7.783973e-06],"[7.8268522e-06 1.0262813e-05 2.0285422e-04 1.5312003e-03 2.0306010e-02
 2.0040829e-01 6.3430047e-01 1.3580658e-01 7.4264822e-03]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0040_face0.png,White,White,Male,50-59,"[8.29041839e-01 1.58095662e-03 1.01382546e-01 2.32212420e-04
 1.14946428e-03 6.86251000e-03 5.97504638e-02]",[0.96407425 0.00162087 0.00981002 0.02449486],[9.9999887e-01 1.1273152e-06],"[8.2971110e-06 2.4525256e-05 1.1087753e-03 6.4551788e-03 5.5688627e-02
 3.7117723e-01 5.3087091e-01 3.4160931e-02 5.0550111e-04]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0041_face0.png,White,White,Male,30-39,"[9.9270976e-01 1.6084918e-05 4.5645647e-03 1.1144051e-06 8.4667845e-06
 2.3327659e-04 2.4667208e-03]",[9.9918872e-01 4.0299878e-05 1.4363766e-04 6.2734075e-04],[9.999910e-01 9.054113e-06],"[9.6504429e-08 9.8544308e-07 1.5935431e-03 1.4286266e-01 4.3993172e-01
 3.7921330e-01 3.5871617e-02 5.1303685e-04 1.3074487e-05]",White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0042_face0.png,White,White,Male,50-59,"[5.37333965e-01 2.26708106e-03 1.16098896e-01 2.39865301e-04
 1.11759466e-03 2.23802738e-02 3.20562333e-01]",[0.95542485 0.00098104 0.00294986 0.04064424],[9.9999964e-01 3.8585250e-07],"[3.33312573e-06 5.23366543e-06 1.06485866e-04 6.53880474e-04
 2.42253989e-02 3.99577856e-01 5.41751027e-01 3.31754871e-02
 5.01291361e-04]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0043_face0.png,Middle Eastern,White,Male,40-49,"[0.07952396 0.0039621  0.34140733 0.00096726 0.00434831 0.06366633
 0.5061248 ]",[0.81254554 0.01721018 0.00533249 0.16491176],[9.9999863e-01 1.4076828e-06],"[1.36313256e-05 3.53742325e-05 4.18453710e-04 6.30799262e-03
 2.32642815e-01 6.53020799e-01 1.06683835e-01 8.71153607e-04
 5.93040613e-06]",Others,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0044_face0.png,White,White,Male,50-59,"[8.6499375e-01 2.0199500e-04 7.2347388e-02 3.5509532e-03 5.3253309e-03
 5.6254594e-03 4.7955181e-02]",[9.9749959e-01 1.0494471e-05 2.2039737e-03 2.8600841e-04],[9.9997175e-01 2.8252931e-05],"[1.0653373e-05 1.9090403e-05 1.6425188e-04 1.3482424e-04 1.5647531e-03
 3.7568171e-02 6.4171809e-01 2.9670635e-01 2.2113834e-02]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0045_face0.png,White,White,Male,50-59,"[9.8091918e-01 1.0418408e-04 6.2443060e-03 1.3981767e-04 4.1548189e-04
 9.0477336e-04 1.1272334e-02]",[9.9974340e-01 3.7664445e-06 4.5451048e-05 2.0737015e-04],[0.9976572  0.00234282],"[3.3686505e-05 9.9630131e-05 1.4951683e-03 1.5847451e-03 1.2051519e-02
 1.4667799e-01 6.5011710e-01 1.6466014e-01 2.3280023e-02]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0046_face0.png,White,White,Male,40-49,"[8.4609067e-01 3.0511132e-04 2.6565544e-02 3.9477379e-04 7.0050702e-04
 1.5870706e-03 1.2435642e-01]",[9.968972e-01 8.289495e-05 6.256661e-04 2.394145e-03],[9.9999136e-01 8.6011851e-06],"[1.0545932e-06 2.6053137e-06 1.4725591e-04 1.9807491e-02 3.6915436e-01
 5.6395924e-01 4.6328276e-02 5.8579270e-04 1.3925339e-05]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0047_face0.png,Black,Black,Male,20-29,"[2.2190869e-05 9.9899524e-01 5.2549859e-04 1.0843177e-06 3.0700612e-05
 3.8310268e-04 4.2166543e-05]",[2.4998685e-06 9.9973541e-01 2.7547492e-05 2.3454351e-04],[9.999994e-01 5.753364e-07],"[7.2154073e-08 2.2040313e-05 4.0405281e-02 8.0246055e-01 1.5043938e-01
 6.5821894e-03 8.8926885e-05 1.5219259e-06 5.1138120e-08]",Black,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0048_face0.png,White,White,Male,50-59,"[8.9580077e-01 5.1824638e-04 4.8019029e-02 3.4940901e-04 7.0153369e-04
 4.9285698e-03 4.9682476e-02]",[9.9769032e-01 3.7477494e-05 1.8533626e-04 2.0868659e-03],[0.99612564 0.00387433],"[3.3025604e-05 8.5155545e-05 6.6309090e-04 9.7162736e-04 1.4687837e-02
 1.9436006e-01 6.9637156e-01 8.4482886e-02 8.3447797e-03]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0049_face0.png,White,White,Male,50-59,"[9.7272754e-01 1.6674798e-04 2.5470138e-03 1.3550697e-06 9.8776200e-06
 4.7083979e-04 2.4076648e-02]",[9.993862e-01 3.624670e-05 1.803138e-05 5.595590e-04],[9.9994391e-01 5.6080265e-05],"[3.2127687e-07 8.2262954e-07 4.5784614e-05 1.0056618e-03 2.8921986e-02
 3.9614645e-01 5.4149926e-01 3.0435575e-02 1.9441952e-03]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0050_face0.png,White,White,Male,40-49,"[7.9688430e-01 2.0358496e-04 1.0522537e-01 1.8442281e-04 4.8681995e-04
 1.8319879e-02 7.8695625e-02]",[9.7438419e-01 5.9398117e-05 3.5970652e-04 2.5196638e-02],[9.9963641e-01 3.6362093e-04],"[4.2494635e-06 1.0768628e-05 2.0923298e-04 2.7890117e-03 1.0934296e-01
 6.3054734e-01 2.5447398e-01 2.5776913e-03 4.4700006e-05]",White,40-59
