imageName,predicted_label,actual_label,imageTag,dataset,beautification,imageGender,condition,perceived_attractiveness,feminine,happy,intelligence,trustworthy,unusual,sociability,perceived_age
cfd-beautified-male-indian-14,1,1,cfd-male-indian-14,cfd,beautified,male,indian,4.0,1.0,4.0,5.0,4.0,4.0,4.0,36.0
cfd-beautified-female-latino-18,2,2,cfd-female-latino-18,cfd,beautified,female,latino,6.0,6.0,4.0,5.0,5.0,4.0,5.0,29.0
cfd-beautified-female-white-12,2,2,cfd-female-white-12,cfd,beautified,female,white,6.0,6.0,4.0,5.0,4.0,4.0,5.0,25.0
cfd-beautified-male-asian-20,1,1,cfd-male-asian-20,cfd,beautified,male,asian,4.0,2.0,4.0,4.5,4.0,4.0,5.0,22.0
cfd-beautified-male-mixed-8,1,1,cfd-male-mixed-8,cfd,beautified,male,mixed,5.0,2.0,4.0,4.0,4.0,4.5,5.0,25.0
cfd-original-female-white-19,1,1,cfd-female-white-19,cfd,original,female,white,4.0,5.0,4.0,5.0,5.0,3.0,4.0,38.0
cfd-original-male-indian-9,0,0,cfd-male-indian-9,cfd,original,male,indian,3.0,1.0,3.0,5.0,4.0,3.0,3.0,54.0
faces-beautified-female-young-2,2,2,faces-female-young-2,faces,beautified,female,young,6.0,6.0,4.0,5.0,4.0,3.0,4.0,24.0
faces-original-male-young-12,1,1,faces-male-young-12,faces,original,male,young,4.0,2.0,3.0,5.0,3.0,3.0,3.0,25.0
faces-original-female-old-10,1,1,faces-female-old-10,faces,original,female,old,3.5,5.0,3.5,4.0,4.5,2.0,4.0,68.0
faces-beautified-male-old-2,1,1,faces-male-old-2,faces,beautified,male,old,4.0,1.0,3.0,4.0,4.0,3.0,3.5,65.0
faces-beautified-female-middle-3,2,2,faces-female-middle-3,faces,beautified,female,middle,6.0,6.0,5.0,5.0,4.0,3.0,5.0,40.0
faces-beautified-male-middle-20,1,1,faces-male-middle-20,faces,beautified,male,middle,5.0,2.0,4.0,5.0,4.0,3.0,5.0,48.0
faces-beautified-male-young-24,1,1,faces-male-young-24,faces,beautified,male,young,5.0,2.0,4.0,5.0,4.0,3.0,5.0,28.0
faces-original-female-middle-16,0,1,faces-female-middle-16,faces,original,female,middle,4.0,5.0,4.0,4.0,4.0,3.0,4.0,54.5
faces-original-female-young-20,1,1,faces-female-young-20,faces,original,female,young,5.0,5.0,4.0,4.0,4.0,2.0,4.0,27.0
faces-original-male-old-7,0,0,faces-male-old-7,faces,original,male,old,2.5,1.0,2.0,4.0,4.0,4.0,3.0,70.5
cfd-beautified-male-white-9,1,1,cfd-male-white-9,cfd,beautified,male,white,5.0,2.0,4.0,4.0,4.0,4.0,5.0,28.0
cfd-original-female-black-9,1,1,cfd-female-black-9,cfd,original,female,black,5.0,6.0,5.0,5.0,5.0,3.0,5.0,32.0
cfd-original-male-latino-20,0,1,cfd-male-latino-20,cfd,original,male,latino,4.0,1.0,4.0,5.0,4.0,2.0,4.0,23.5
cfd-beautified-male-mixed-10,1,1,cfd-male-mixed-10,cfd,beautified,male,mixed,5.0,2.0,5.0,5.0,4.0,3.0,5.0,25.0
cfd-beautified-female-asian-22,2,1,cfd-female-asian-22,cfd,beautified,female,asian,5.0,6.0,4.0,4.0,4.5,4.0,5.0,24.0
cfd-beautified-female-black-7,2,2,cfd-female-black-7,cfd,beautified,female,black,6.0,6.0,4.0,5.0,5.0,4.0,5.0,24.5
cfd-beautified-female-indian-7,2,2,cfd-female-indian-7,cfd,beautified,female,indian,6.0,6.0,5.0,5.0,5.0,4.0,5.0,23.0
cfd-original-female-indian-10,0,0,cfd-female-indian-10,cfd,original,female,indian,3.0,5.0,3.0,4.0,4.0,2.5,3.0,45.0
cfd-original-male-mixed-23,1,1,cfd-male-mixed-23,cfd,original,male,mixed,3.5,2.0,3.0,4.0,4.0,3.0,4.0,33.0
cfd-original-male-white-11,0,0,cfd-male-white-11,cfd,original,male,white,3.0,2.0,3.0,4.0,4.0,3.0,3.5,27.0
cfd-original-female-white-14,0,1,cfd-female-white-14,cfd,original,female,white,3.5,5.0,3.0,4.0,4.0,3.0,4.0,32.0
cfd-beautified-male-mixed-14,1,1,cfd-male-mixed-14,cfd,beautified,male,mixed,5.0,2.0,5.0,4.0,4.0,3.0,5.0,25.0
cfd-original-male-asian-5,0,0,cfd-male-asian-5,cfd,original,male,asian,3.0,1.5,3.0,4.0,4.5,3.0,4.0,41.5
cfd-beautified-female-black-25,1,1,cfd-female-black-25,cfd,beautified,female,black,4.0,5.0,4.0,5.0,4.0,4.0,4.0,23.0
cfd-beautified-female-indian-19,2,2,cfd-female-indian-19,cfd,beautified,female,indian,6.0,6.0,5.0,5.0,5.0,4.0,5.0,26.0
cfd-beautified-male-latino-24,0,1,cfd-male-latino-24,cfd,beautified,male,latino,5.0,1.0,4.0,4.0,4.0,3.0,5.0,38.0
cfd-original-female-indian-1,0,0,cfd-female-indian-1,cfd,original,female,indian,3.0,4.0,3.0,4.0,4.0,4.0,3.0,30.0
cfd-original-male-latino-17,0,1,cfd-male-latino-17,cfd,original,male,latino,4.0,2.0,5.0,5.0,4.0,3.0,4.0,34.0
cfd-original-male-mixed-17,1,1,cfd-male-mixed-17,cfd,original,male,mixed,4.0,2.0,4.0,4.0,4.0,3.0,4.0,26.0
cfd-beautified-male-white-18,1,1,cfd-male-white-18,cfd,beautified,male,white,5.0,2.0,4.0,5.0,4.0,3.0,5.0,25.0
cfd-original-female-black-20,2,1,cfd-female-black-20,cfd,original,female,black,5.0,6.0,5.0,5.0,4.0,4.0,5.0,35.0
cfd-beautified-female-indian-23,2,2,cfd-female-indian-23,cfd,beautified,female,indian,6.0,6.0,5.0,5.0,5.0,4.0,5.0,27.0
cfd-original-male-white-4,1,1,cfd-male-white-4,cfd,original,male,white,4.0,1.0,4.0,4.5,5.0,3.0,4.0,32.0
cfd-beautified-female-black-17,1,1,cfd-female-black-17,cfd,beautified,female,black,5.0,6.0,5.0,5.0,5.0,3.5,5.0,26.0
cfd-beautified-female-mixed-13,2,2,cfd-female-mixed-13,cfd,beautified,female,mixed,6.0,6.0,4.0,5.0,4.5,3.0,5.0,26.0
cfd-beautified-male-latino-2,0,1,cfd-male-latino-2,cfd,beautified,male,latino,5.0,2.0,4.0,5.0,5.0,2.0,5.0,36.0
cfd-original-female-mixed-1,1,1,cfd-female-mixed-1,cfd,original,female,mixed,5.0,6.0,3.0,4.0,4.0,3.0,4.0,30.0
cfd-original-male-asian-10,1,1,cfd-male-asian-10,cfd,original,male,asian,4.0,2.0,5.0,5.0,5.0,2.5,5.0,44.5
cfd-original-male-latino-6,0,1,cfd-male-latino-6,cfd,original,male,latino,4.0,1.0,4.0,4.0,4.0,3.0,4.0,27.0
cfd-beautified-female-asian-21,2,2,cfd-female-asian-21,cfd,beautified,female,asian,6.0,6.0,4.0,5.0,4.0,4.0,4.0,28.0
cfd-original-male-black-11,0,1,cfd-male-black-11,cfd,original,male,black,4.0,1.0,4.0,4.0,4.0,3.0,4.0,40.0
cfd-original-male-indian-22,1,1,cfd-male-indian-22,cfd,original,male,indian,4.0,1.0,4.0,5.0,4.0,4.0,4.0,30.0
cfd-beautified-female-mixed-12,1,2,cfd-female-mixed-12,cfd,beautified,female,mixed,6.0,6.0,4.0,5.0,4.0,3.0,5.0,25.0
cfd-beautified-male-black-14,1,1,cfd-male-black-14,cfd,beautified,male,black,5.0,1.0,5.0,5.0,4.0,3.0,5.0,24.0
cfd-beautified-male-indian-9,0,1,cfd-male-indian-9,cfd,beautified,male,indian,4.0,1.0,5.0,5.0,5.0,4.0,4.0,42.0
cfd-original-female-latino-24,2,1,cfd-female-latino-24,cfd,original,female,latino,3.5,5.0,4.0,4.0,4.0,4.0,4.0,35.0
cfd-original-female-mixed-6,0,1,cfd-female-mixed-6,cfd,original,female,mixed,4.0,5.0,2.5,4.0,4.0,3.0,3.5,29.5
cfd-original-male-white-2,0,0,cfd-male-white-2,cfd,original,male,white,2.0,1.0,3.5,4.0,3.0,3.0,4.0,43.0
faces-original-male-young-24,1,1,faces-male-young-24,faces,original,male,young,4.0,2.0,4.0,4.0,4.0,3.0,4.0,31.5
faces-original-female-young-17,2,1,faces-female-young-17,faces,original,female,young,4.0,5.0,4.0,4.0,4.0,3.0,4.0,26.0
faces-beautified-male-middle-27,1,1,faces-male-middle-27,faces,beautified,male,middle,4.0,2.0,4.0,5.0,4.0,3.0,4.0,48.5
faces-beautified-female-middle-14,2,2,faces-female-middle-14,faces,beautified,female,middle,6.0,6.0,5.0,5.0,5.0,3.0,5.0,44.0
faces-beautified-female-young-1,2,2,faces-female-young-1,faces,beautified,female,young,6.0,7.0,4.5,5.0,5.0,4.0,5.0,25.0
faces-beautified-male-young-10,1,1,faces-male-young-10,faces,beautified,male,young,5.0,2.0,4.0,4.0,4.0,3.0,5.0,26.0
faces-original-female-middle-27,0,0,faces-female-middle-27,faces,original,female,middle,3.0,5.0,4.0,4.0,4.0,4.0,4.0,50.0
faces-original-male-old-22,0,1,faces-male-old-22,faces,original,male,old,4.0,1.5,5.0,5.0,5.0,3.0,5.0,72.0
cfd-beautified-male-mixed-11,1,1,cfd-male-mixed-11,cfd,beautified,male,mixed,5.0,2.0,4.0,5.0,4.0,4.0,4.0,28.0
cfd-original-female-white-25,1,0,cfd-female-white-25,cfd,original,female,white,2.0,4.5,3.0,4.0,4.0,5.0,4.0,38.0
cfd-beautified-female-black-18,2,1,cfd-female-black-18,cfd,beautified,female,black,4.0,5.0,4.0,4.0,4.0,4.0,4.5,28.0
cfd-beautified-female-indian-3,2,1,cfd-female-indian-3,cfd,beautified,female,indian,5.0,6.0,3.0,4.0,4.0,4.0,4.0,30.5
cfd-beautified-male-latino-5,1,1,cfd-male-latino-5,cfd,beautified,male,latino,4.0,2.0,5.0,5.0,5.0,3.0,5.0,20.0
cfd-original-female-black-6,0,1,cfd-female-black-6,cfd,original,female,black,5.0,6.0,4.0,5.0,4.0,4.0,4.0,35.0
cfd-original-female-indian-9,1,1,cfd-female-indian-9,cfd,original,female,indian,5.0,5.0,4.0,4.0,4.0,2.0,4.0,33.5
cfd-original-male-asian-8,0,1,cfd-male-asian-8,cfd,original,male,asian,4.0,1.0,3.5,4.0,4.0,3.0,4.0,27.0
cfd-original-female-white-24,1,1,cfd-female-white-24,cfd,original,female,white,5.0,6.0,5.0,5.0,4.5,3.0,4.5,29.5
cfd-original-female-mixed-20,1,1,cfd-female-mixed-20,cfd,original,female,mixed,4.0,6.0,3.0,5.0,4.0,2.0,4.0,25.0
cfd-beautified-female-white-14,2,2,cfd-female-white-14,cfd,beautified,female,white,6.0,6.0,5.0,4.0,5.0,3.0,5.0,25.0
cfd-beautified-male-black-13,1,1,cfd-male-black-13,cfd,beautified,male,black,4.0,1.0,4.0,4.0,4.0,2.0,5.0,26.0
cfd-beautified-male-indian-22,1,1,cfd-male-indian-22,cfd,beautified,male,indian,5.0,2.0,4.0,5.0,4.0,4.0,5.0,28.0
cfd-original-female-asian-10,2,1,cfd-female-asian-10,cfd,original,female,asian,5.0,5.0,4.0,5.0,4.0,3.0,4.0,32.0
cfd-original-male-black-16,1,1,cfd-male-black-16,cfd,original,male,black,5.0,2.0,4.0,5.0,4.0,3.0,5.0,29.0
cfd-original-male-indian-15,0,0,cfd-male-indian-15,cfd,original,male,indian,3.0,1.0,3.0,4.0,4.0,3.0,4.0,48.0
faces-original-female-young-12,2,1,faces-female-young-12,faces,original,female,young,5.0,6.0,4.0,4.0,4.0,2.0,5.0,25.0
faces-beautified-female-young-18,2,2,faces-female-young-18,faces,beautified,female,young,6.0,6.0,5.0,5.0,5.0,3.0,5.0,22.0
faces-beautified-female-old-15,1,1,faces-female-old-15,faces,beautified,female,old,4.0,6.0,4.0,4.0,5.0,2.0,5.0,63.0
faces-original-male-middle-19,0,0,faces-male-middle-19,faces,original,male,middle,3.0,1.0,3.0,4.0,3.0,4.0,4.0,52.0
faces-beautified-female-middle-21,2,1,faces-female-middle-21,faces,beautified,female,middle,5.0,6.0,4.0,4.0,4.0,3.0,4.0,42.0
faces-beautified-male-middle-2,1,1,faces-male-middle-2,faces,beautified,male,middle,5.0,2.0,4.0,5.0,4.0,3.0,4.5,52.0
faces-beautified-male-young-19,1,2,faces-male-young-19,faces,beautified,male,young,6.0,3.0,4.0,5.0,4.0,3.0,4.5,25.0
faces-original-female-old-9,0,0,faces-female-old-9,faces,original,female,old,3.0,5.0,3.0,4.0,4.0,3.0,4.0,78.0
faces-original-male-young-11,1,1,faces-male-young-11,faces,original,male,young,4.0,2.0,3.0,4.0,3.0,2.0,4.0,20.0
faces-beautified-female-old-11,1,1,faces-female-old-11,faces,beautified,female,old,5.0,5.0,4.0,5.0,5.0,3.0,4.5,64.5
faces-original-male-young-25,1,1,faces-male-young-25,faces,original,male,young,4.0,2.0,3.0,5.0,4.0,3.0,3.0,31.0
faces-beautified-female-middle-25,2,1,faces-female-middle-25,faces,beautified,female,middle,5.0,6.0,4.0,5.0,4.0,5.0,5.0,29.0
faces-beautified-male-middle-1,0,1,faces-male-middle-1,faces,beautified,male,middle,4.0,1.0,3.0,5.0,4.0,2.0,3.0,47.0
faces-beautified-male-young-26,1,1,faces-male-young-26,faces,beautified,male,young,5.0,3.0,4.0,5.0,4.0,3.0,5.0,30.0
faces-original-female-old-6,0,0,faces-female-old-6,faces,original,female,old,3.0,5.0,3.0,4.0,4.0,3.0,4.0,70.5
faces-original-male-middle-27,0,1,faces-male-middle-27,faces,original,male,middle,4.0,2.0,3.5,4.0,4.0,2.0,4.0,53.5
faces-original-male-old-19,0,0,faces-male-old-19,faces,original,male,old,2.0,1.0,2.0,4.0,4.0,2.0,3.0,70.0
cfd-original-female-indian-14,0,0,cfd-female-indian-14,cfd,original,female,indian,3.0,5.0,3.0,4.0,4.0,3.0,4.0,53.0
cfd-beautified-male-latino-9,2,2,cfd-male-latino-9,cfd,beautified,male,latino,6.0,2.0,5.0,5.0,4.0,3.0,5.0,27.0
cfd-original-female-asian-12,2,1,cfd-female-asian-12,cfd,original,female,asian,5.0,6.0,4.0,5.0,4.0,3.5,4.0,27.0
cfd-beautified-female-asian-6,2,1,cfd-female-asian-6,cfd,beautified,female,asian,5.0,6.0,4.0,4.0,4.0,4.5,5.0,24.5
cfd-beautified-female-indian-10,1,2,cfd-female-indian-10,cfd,beautified,female,indian,6.0,7.0,5.0,5.0,5.0,4.0,5.0,25.5
cfd-beautified-male-mixed-24,1,1,cfd-male-mixed-24,cfd,beautified,male,mixed,5.0,2.0,4.0,5.0,4.0,4.0,5.0,22.0
cfd-original-male-latino-5,0,0,cfd-male-latino-5,cfd,original,male,latino,3.0,3.0,4.0,5.0,4.0,4.0,4.0,25.0
cfd-original-male-mixed-7,0,0,cfd-male-mixed-7,cfd,original,male,mixed,3.0,2.0,5.0,5.0,5.0,3.0,4.0,20.0
cfd-original-female-indian-7,0,1,cfd-female-indian-7,cfd,original,female,indian,4.0,5.0,3.5,5.0,4.0,3.0,4.0,31.0
cfd-original-male-black-19,0,1,cfd-male-black-19,cfd,original,male,black,4.0,1.0,5.0,4.0,4.0,4.0,5.0,35.5
cfd-original-male-white-15,0,0,cfd-male-white-15,cfd,original,male,white,3.0,2.0,3.0,4.0,4.0,2.0,3.5,36.5
cfd-beautified-female-latino-24,2,1,cfd-female-latino-24,cfd,beautified,female,latino,5.0,6.0,5.0,5.0,5.0,5.0,5.0,25.0
cfd-beautified-female-mixed-24,1,1,cfd-female-mixed-24,cfd,beautified,female,mixed,5.0,5.0,3.0,4.0,4.0,4.0,5.0,23.0
cfd-beautified-male-asian-4,1,1,cfd-male-asian-4,cfd,beautified,male,asian,5.0,2.0,4.0,4.0,4.0,3.0,4.0,24.5
cfd-beautified-male-black-10,1,1,cfd-male-black-10,cfd,beautified,male,black,4.0,1.5,4.0,5.0,4.0,2.5,4.5,22.5
cfd-beautified-male-white-23,2,2,cfd-male-white-23,cfd,beautified,male,white,6.0,2.0,4.0,5.0,4.0,3.0,5.0,27.0
faces-original-female-young-16,1,1,faces-female-young-16,faces,original,female,young,4.0,5.0,3.0,4.0,4.0,3.0,4.0,19.0
faces-original-male-middle-9,0,0,faces-male-middle-9,faces,original,male,middle,2.0,1.0,3.0,4.0,4.0,3.0,4.0,58.5
faces-beautified-female-young-19,2,2,faces-female-young-19,faces,beautified,female,young,6.0,6.0,4.0,5.0,4.0,4.0,5.0,25.0
faces-beautified-female-old-6,1,1,faces-female-old-6,faces,beautified,female,old,5.0,6.0,4.0,5.0,4.0,4.0,5.0,60.0
faces-beautified-female-middle-26,1,1,faces-female-middle-26,faces,beautified,female,middle,5.0,5.0,5.0,5.0,4.0,5.0,5.0,31.0
faces-beautified-male-middle-14,1,1,faces-male-middle-14,faces,beautified,male,middle,4.0,2.0,3.0,5.0,4.0,3.0,4.0,41.0
faces-beautified-male-old-6,1,1,faces-male-old-6,faces,beautified,male,old,5.0,1.0,4.0,5.0,5.0,3.0,5.0,62.0
faces-original-female-middle-22,1,1,faces-female-middle-22,faces,original,female,middle,5.0,6.0,3.0,4.0,4.5,2.0,5.0,54.0
faces-original-male-old-14,0,0,faces-male-old-14,faces,original,male,old,3.0,1.0,4.0,4.0,4.0,2.0,4.0,62.0
faces-original-male-young-8,1,1,faces-male-young-8,faces,original,male,young,4.0,2.0,3.0,5.0,4.0,2.0,5.0,26.0
cfd-original-male-white-19,0,0,cfd-male-white-19,cfd,original,male,white,2.0,1.0,3.0,4.0,4.0,2.0,3.0,32.0
cfd-beautified-male-white-4,1,1,cfd-male-white-4,cfd,beautified,male,white,5.0,2.0,5.0,5.0,4.0,2.0,5.0,27.5
cfd-beautified-male-black-2,1,1,cfd-male-black-2,cfd,beautified,male,black,4.0,2.0,4.0,5.0,5.0,2.0,4.0,19.0
cfd-beautified-female-mixed-6,2,2,cfd-female-mixed-6,cfd,beautified,female,mixed,6.0,6.0,4.0,5.0,4.0,3.0,5.0,22.0
cfd-beautified-female-asian-5,2,1,cfd-female-asian-5,cfd,beautified,female,asian,5.0,6.0,4.0,5.0,5.0,3.0,5.0,26.0
cfd-original-female-asian-2,1,1,cfd-female-asian-2,cfd,original,female,asian,4.0,5.0,3.0,5.0,4.0,3.5,4.0,33.0
cfd-original-female-mixed-16,1,1,cfd-female-mixed-16,cfd,original,female,mixed,5.0,6.0,4.0,5.0,5.0,4.0,5.0,26.0
faces-original-male-old-13,0,0,faces-male-old-13,faces,original,male,old,2.0,1.0,3.0,3.5,4.0,3.0,3.5,72.5
faces-original-female-young-6,1,1,faces-female-young-6,faces,original,female,young,4.0,5.5,3.0,4.0,4.0,3.0,4.0,22.0
faces-beautified-female-middle-7,2,1,faces-female-middle-7,faces,beautified,female,middle,5.0,6.0,4.0,5.0,4.5,4.0,5.0,45.0
faces-beautified-female-old-24,0,1,faces-female-old-24,faces,beautified,female,old,4.0,6.0,4.0,4.0,4.0,2.5,4.5,69.0
faces-beautified-male-middle-22,1,1,faces-male-middle-22,faces,beautified,male,middle,5.0,2.0,4.0,4.0,4.0,3.0,4.0,42.0
faces-beautified-male-old-16,0,0,faces-male-old-16,faces,beautified,male,old,3.0,2.0,5.0,5.0,4.0,3.0,5.0,63.0
faces-original-male-middle-25,0,1,faces-male-middle-25,faces,original,male,middle,5.0,2.0,4.0,4.0,4.0,2.0,4.0,41.0
faces-original-male-young-23,1,1,faces-male-young-23,faces,original,male,young,4.0,2.0,4.0,4.0,4.0,3.0,4.0,23.5
cfd-original-female-asian-8,0,0,cfd-female-asian-8,cfd,original,female,asian,3.0,4.0,3.0,4.0,4.0,3.0,4.0,26.0
cfd-original-female-white-22,0,0,cfd-female-white-22,cfd,original,female,white,3.0,4.0,3.0,4.0,4.0,4.0,4.0,32.5
cfd-beautified-male-indian-16,1,1,cfd-male-indian-16,cfd,beautified,male,indian,4.0,2.0,4.0,5.0,4.5,3.0,4.5,29.0
cfd-beautified-female-white-4,1,1,cfd-female-white-4,cfd,beautified,female,white,4.0,4.0,4.0,4.0,4.0,4.0,4.0,25.0
cfd-beautified-female-asian-11,2,2,cfd-female-asian-11,cfd,beautified,female,asian,6.0,6.5,5.0,5.0,5.0,4.0,5.0,23.0
cfd-beautified-male-latino-17,2,2,cfd-male-latino-17,cfd,beautified,male,latino,6.0,2.0,5.0,5.0,5.0,3.0,6.0,28.0
cfd-original-female-mixed-4,0,0,cfd-female-mixed-4,cfd,original,female,mixed,2.0,3.5,3.0,4.0,4.0,3.5,4.0,30.0
cfd-original-male-latino-19,0,1,cfd-male-latino-19,cfd,original,male,latino,4.5,2.5,5.0,5.0,5.0,3.0,5.0,23.0
cfd-beautified-male-asian-8,1,1,cfd-male-asian-8,cfd,beautified,male,asian,4.5,2.0,4.0,5.0,4.0,3.0,5.0,25.0
cfd-beautified-male-black-5,1,1,cfd-male-black-5,cfd,beautified,male,black,4.0,1.0,5.0,5.0,4.0,3.0,5.0,29.0
cfd-beautified-female-mixed-22,2,1,cfd-female-mixed-22,cfd,beautified,female,mixed,4.5,5.0,3.0,4.0,4.0,4.0,4.0,24.5
cfd-original-female-mixed-21,1,2,cfd-female-mixed-21,cfd,original,female,mixed,6.0,6.0,5.0,5.0,5.0,4.0,5.0,25.0
cfd-beautified-male-white-7,1,1,cfd-male-white-7,cfd,beautified,male,white,5.0,3.0,4.0,5.0,4.0,3.0,5.0,23.5
cfd-original-female-latino-20,1,1,cfd-female-latino-20,cfd,original,female,latino,4.0,5.0,4.0,5.0,4.0,3.0,4.0,22.0
cfd-original-male-asian-22,0,0,cfd-male-asian-22,cfd,original,male,asian,3.0,1.0,4.0,4.0,4.0,4.0,4.0,45.0
cfd-original-male-black-4,1,0,cfd-male-black-4,cfd,original,male,black,3.0,1.0,4.0,4.0,4.0,4.0,4.0,42.0
cfd-original-male-white-25,0,1,cfd-male-white-25,cfd,original,male,white,4.0,1.0,3.0,4.0,4.0,2.0,4.0,31.0
cfd-original-female-asian-18,1,1,cfd-female-asian-18,cfd,original,female,asian,4.0,5.0,3.0,4.5,4.0,3.0,4.0,26.0
cfd-beautified-female-asian-12,2,2,cfd-female-asian-12,cfd,beautified,female,asian,6.0,6.0,4.0,5.0,4.0,4.0,4.0,25.0
cfd-beautified-female-mixed-11,1,1,cfd-female-mixed-11,cfd,beautified,female,mixed,5.0,6.0,4.5,4.0,4.0,3.0,5.0,24.0
cfd-beautified-male-white-19,1,1,cfd-male-white-19,cfd,beautified,male,white,4.0,2.0,4.0,4.0,5.0,3.0,5.0,30.0
cfd-original-female-latino-5,1,1,cfd-female-latino-5,cfd,original,female,latino,4.0,5.0,3.0,4.0,4.0,3.0,4.0,32.0
cfd-original-female-mixed-10,1,0,cfd-female-mixed-10,cfd,original,female,mixed,3.0,5.0,4.0,4.0,4.5,3.0,4.0,28.0
faces-original-female-young-7,2,1,faces-female-young-7,faces,original,female,young,5.0,4.0,3.0,5.0,4.0,5.0,4.0,32.5
faces-beautified-female-old-25,1,1,faces-female-old-25,faces,beautified,female,old,5.0,6.0,4.0,4.0,5.0,2.0,5.0,66.0
faces-original-male-old-11,0,0,faces-male-old-11,faces,original,male,old,3.0,2.0,3.0,4.0,4.0,4.0,3.0,73.0
faces-original-male-middle-17,0,0,faces-male-middle-17,faces,original,male,middle,2.5,1.0,3.0,3.5,3.0,3.0,3.0,45.0
faces-beautified-female-young-3,1,1,faces-female-young-3,faces,beautified,female,young,5.0,6.0,4.0,4.0,4.0,3.0,5.0,24.0
faces-beautified-male-middle-9,1,1,faces-male-middle-9,faces,beautified,male,middle,3.5,1.0,3.0,4.0,4.0,3.0,4.0,49.0
faces-beautified-male-old-12,0,1,faces-male-old-12,faces,beautified,male,old,5.0,2.0,4.0,5.0,5.0,3.0,4.0,61.5
cfd-beautified-female-black-14,2,2,cfd-female-black-14,cfd,beautified,female,black,6.0,6.0,4.0,4.0,4.0,4.0,5.0,26.0
cfd-original-male-white-6,0,0,cfd-male-white-6,cfd,original,male,white,3.0,2.0,4.0,4.0,4.0,3.0,4.0,38.0
cfd-beautified-female-indian-18,2,2,cfd-female-indian-18,cfd,beautified,female,indian,6.0,7.0,5.0,5.0,5.0,3.0,5.0,25.0
cfd-original-male-mixed-24,1,1,cfd-male-mixed-24,cfd,original,male,mixed,4.0,2.5,4.0,4.0,4.0,3.0,4.5,24.5
cfd-beautified-male-mixed-16,1,1,cfd-male-mixed-16,cfd,beautified,male,mixed,5.0,1.0,3.5,4.5,4.0,3.0,4.0,20.0
